,East,East Midlands,London,North East,North West,South East,South West,West Midlands,Yorkshire and The Humber
2039-04-01,0.8293425860319155,0.8238195066677453,0.8100704467211893,0.7139342713697099,0.8467438009780672,0.842976190122997,0.8402379078332342,0.7753490341437769,0.8375847749583074
2039-07-01,0.8316152116290797,0.8267282862835821,0.8138510959349751,0.7246840339149796,0.8471808524507447,0.843824533158173,0.8413797673604347,0.7821354532562795,0.8390607495993759
2039-10-01,0.8336427455407996,0.8293219982526575,0.8172882370495463,0.7347216520915425,0.847559411360596,0.844571072328614,0.8423892748079087,0.7883539797766188,0.8403632729609875
2040-01-01,0.835450588472373,0.8316330544454498,0.8204104470589321,0.7440727928638994,0.8478872636433921,0.8452278743339665,0.8432815037922994,0.7940434599863235,0.8415122752854587
2040-04-01,0.8370617253141618,0.8336908972341406,0.8232444100426661,0.7527657755347386,0.8481711694838813,0.8458056098099328,0.8440698703372179,0.7992416510053721,0.8425254987367048
2040-07-01,0.8384969085388827,0.8355221919987726,0.8258149493619873,0.7608308558805883,0.8484169957782789,0.846313707016504,0.8447663019595386,0.8039849299917484,0.8434187144344512
2040-10-01,0.839774838191042,0.8371510259823197,0.828145080732258,0.7682995835166965,0.8486298321675657,0.8467604904268751,0.8453813925149637,0.8083080797547844,0.8442059233872398
2041-01-01,0.8409123356341612,0.8385991076044388,0.8302560808176989,0.7752042361421945,0.8488140925056299,0.8471533052617011,0.8459245432760931,0.8122441401963892,0.8448995411425262
2041-04-01,0.8419245090992752,0.839885961863098,0.8321675668523438,0.7815773310006754,0.8489736034608512,0.8474986290578087,0.846404090908823,0.815824315426977,0.8455105664273627
2041-07-01,0.8428249097731664,0.8410291186903558,0.833897583567347,0.7874512113083434,0.8491116817857449,0.8478021713633223,0.8468274231336824,0.8190779271094681,0.8460487343697765
2041-10-01,0.8436256777059368,0.8420442921192973,0.8354626943933644,0.7928577035007931,0.8492312016315603,0.8480689626247854,0.8472010829252457,0.8220324054563065,0.8465226551003149
2042-01-01,0.8443376772312728,0.8429455488995997,0.8368780745074024,0.7978278398520477,0.8493346531362331,0.8483034332857899,0.8475308621289565,0.824713310256211,0.8469399386608418
2042-04-01,0.8449706219024707,0.8437454658034879,0.8381576038097256,0.8023916402337633,0.8494241933765149,0.8485094840580127,0.8478218853717043,0.8271443752761025,0.8473073072140406
2042-07-01,0.8455331891732117,0.8444552753229013,0.8393139583541182,0.8065779464131599,0.8495016906491643,0.8486905482598006,0.8480786851188462,0.8293475703244038,0.8476306955685007
2042-10-01,0.846033125211312,0.845084999799725,0.8403586991212733,0.8104143022437869,0.8495687629319384,0.8488496470484459,0.8483052686927751,0.8313431761448135,0.8479153410234566
2043-01-01,0.8464773403405772,0.8456435742773892,0.84130235732825,0.8139268733007271,0.8496268112724166,0.8489894383028791,0.8485051780216442,0.8331498681166312,0.8481658635041186
2043-04-01,0.8468719956722583,0.8461389585337643,0.8421545157146898,0.8171403998794337,0.849677048760875,0.8491122598456371,0.8486815428352499,0.8347848054596584,0.8483863369106028
2043-07-01,0.8472225815230493,0.846578238868537,0.8429238854464753,0.8200781777551945,0.8497205256617668,0.8492201676279754,0.8488371279712058,0.8362637232760409,0.8485803525464412
2043-10-01,0.847533988228842,0.8469677202865943,0.8436183784367726,0.8227620616401499,0.8497581512060097,0.8493149694406942,0.8489743754003791,0.8376010253101521,0.8487510754307489
2044-01-01,0.8478105699587205,0.847313009753312,0.8442451750093914,0.8252124868396431,0.8497907124824423,0.8493982546561484,0.8490954415276043,0.8388098757756766,0.848901294234442
2044-04-01,0.8480562021168206,0.8476190912067565,0.8448107869257702,0.8274485051718015,0.8498188908106,0.8494714204542054,0.849202230272856,0.839902288993216,0.8490334655176129
2044-07-01,0.8482743328944716,0.8478903930026065,0.8453211158696827,0.8294878317540332,0.8498432759276343,0.84953569493664,0.8492964223900163,0.8408892159095818,0.8491497528838163
2044-10-01,0.8484680295044337,0.8481308484454999,0.8457815075372479,0.8313468997645923,0.8498643782789637,0.8495921574905263,0.8493795014354579,0.8417806268394157,0.8492520616085975
2045-01-01,0.8486400195952555,0.8483439500297135,0.8461968015176972,0.8330409207486824,0.8498826396644525,0.8496417567214014,0.849452776757078,0.8425855899885303,0.8493420692447188
2045-04-01,0.8487927283084841,0.8485327979758114,0.8465713771757145,0.8345839484529444,0.8498984424588891,0.8496853262411128,0.8495174038361737,0.8433123454937255,0.8494212526555593
2045-07-01,0.8489283114058827,0.8487001436105673,0.8469091957616217,0.835988944538662,0.8499121175967577,0.849723598563042,0.849574402279621,0.8439683748524063,0.8494909118811999
2045-10-01,0.8490486848588673,0.848848428096896,0.8472138389833834,0.8372678448438519,0.8499239514862053,0.8497572173285434,0.8496246717280512,0.8445604657231132,0.8495521911987355
2046-01-01,0.8491555512586341,0.8489798169800152,0.8474885442761559,0.8384316251400823,0.8499341919952828,0.8497867480626695,0.8496690059169656,0.8450947721603107,0.8496060976993008
